"Date","Luang Prabang","Chieang Saen","NongKhai","Chieng Khan","VienTiean","Mukdahan","KhongCham","Pakse","Stungtreng","Kratie","Kompongcham","Phnompenh Port","Chau Doc"
"Jan-61","4.11","1.10","","","1.00","1.56","","0.95","2.38","6.72","4.23","2.62",""
"Feb-61","3.55","0.85","","","0.64","1.31","","0.67","2.04","5.93","3.22","1.67",""
"Mar-61","3.12","0.78","","","0.24","1.12","","0.50","1.77","5.53","2.72","1.17",""
"Apr-61","3.52","1.14","","","0.63","1.18","","0.59","1.78","5.48","2.38","0.93",""
"May-61","3.99","1.62","","","1.15","1.57","","1.06","2.55","6.92","2.87","1.27",""
"Jun-61","6.98","3.18","","","3.74","5.56","","5.31","5.27","12.27","7.28","3.58",""
"Jul-61","8.37","4.27","","","4.62","6.73","","6.75","7.23","16.43","11.11","6.17",""
"Aug-61","12.53","6.64","","","7.93","9.00","","8.85","8.65","18.33","12.48","7.25",""
"Sep-61","13.15","5.47","","","9.51","12.00","","11.94","10.09","20.97","14.81","9.24",""
"Oct-61","10.11","4.39","","","7.16","8.94","","9.33","8.56","19.22","14.06","9.66",""
"Nov-61","7.17","2.95","","","3.87","4.08","","3.86","4.52","11.97","9.11","7.26",""
"Dec-61","5.81","2.01","","","2.46","2.58","","1.98","3.07","8.67","5.97","4.69",""
"Jan-62","4.69","1.40","","","1.45","1.91","","1.23","2.59","7.36","4.36","3.10",""
"Feb-62","3.94","1.07","","","0.84","1.52","","0.86","2.27","6.60","3.24","1.98",""
"Mar-62","3.27","0.71","","","0.38","1.28","","0.63","2.00","6.04","2.51","1.25",""
"Apr-62","3.23","0.84","","","0.31","1.16","","0.50","1.71","5.69","2.15","0.81",""
"May-62","4.19","1.56","","","1.19","1.66","","1.18","2.52","6.95","2.78","1.04",""
"Jun-62","7.61","3.65","","","3.82","4.90","","4.44","4.95","11.89","6.95","3.27",""
"Jul-62","9.03","4.34","","","5.41","6.98","","6.95","6.74","15.41","10.17","5.32",""
"Aug-62","12.89","7.09","","","8.33","9.33","","9.31","8.74","18.89","13.41","7.82",""
"Sep-62","10.80","5.29","","","7.28","8.30","","8.88","8.38","18.67","13.41","8.50",""
"Oct-62","8.27","3.86","","","5.21","5.81","","6.71","6.68","16.01","12.05","8.75",""
"Nov-62","6.21","2.52","","","2.91","3.06","","3.21","4.13","11.03","8.08","6.36",""
"Dec-62","4.76","1.55","","","1.57","1.95","","1.35","2.85","8.01","5.18","3.91",""
"Jan-63","3.80","1.05","","","0.79","1.46","","0.87","2.33","6.64","3.62","2.40",""
"Feb-63","3.32","0.71","","","0.35","1.20","","0.61","1.98","5.92","2.74","1.48",""
"Mar-63","3.07","0.57","","","0.12","1.04","","0.42","1.68","5.46","2.34","0.96",""
"Apr-63","2.91","0.55","","","-0.04","0.92","","0.33","1.55","5.24","2.14","0.70",""
"May-63","3.13","0.80","","","0.21","0.99","","0.44","1.65","5.34","2.01","0.58",""
"Jun-63","5.29","2.44","","","1.91","4.39","","3.67","4.04","9.87","5.11","2.15",""
"Jul-63","10.02","5.11","","","6.06","8.22","","6.95","6.41","14.39","9.20","4.55",""
"Aug-63","13.60","6.50","","","9.35","11.18","","10.46","9.17","19.49","13.70","7.66",""
"Sep-63","10.77","4.65","","","7.56","9.58","","8.93","8.38","18.67","13.32","8.28",""
"Oct-63","8.93","4.22","","","5.40","5.57","","5.62","6.02","14.84","11.01","8.01",""
"Nov-63","9.45","3.69","","","5.98","5.25","","4.63","4.79","11.90","8.49","6.41",""
"Dec-63","5.99","2.01","","","2.67","2.77","","2.27","3.24","8.81","5.77","4.28",""
"Jan-64","4.61","1.35","","","1.45","1.87","","1.19","2.52","7.02","3.89","2.60",""
"Feb-64","3.77","0.99","","","0.82","1.46","","0.84","2.16","6.06","2.91","1.69",""
"Mar-64","3.39","0.86","","","0.50","1.24","","0.65","1.81","5.49","2.42","1.16",""
"Apr-64","3.52","1.08","","","0.56","1.21","","0.64","1.72","5.36","2.20","0.89",""
"May-64","4.46","1.81","","","1.63","1.90","","1.40","2.63","7.21","3.02","1.23",""
"Jun-64","5.78","2.66","","","2.64","4.53","","3.77","3.97","10.07","5.40","2.53",""
"Jul-64","11.71","5.67","","","7.25","7.55","","6.61","5.88","13.71","8.64","4.50",""
"Aug-64","12.93","6.32","","","8.32","8.52","","7.85","7.11","15.98","10.62","5.82",""
"Sep-64","12.63","5.90","","","8.83","9.96","","9.82","8.62","18.58","12.95","7.57",""
"Oct-64","9.82","4.56","","","6.68","7.82","","8.09","7.58","17.55","12.85","8.70",""
"Nov-64","7.23","3.00","","","3.86","4.09","","4.13","5.13","12.84","9.35","7.15",""
"Dec-64","5.84","2.05","","","2.53","2.69","","2.17","3.40","9.15","6.18","4.70",""
